Date,Store,Product,Sales,Price,Promotion
2023-01-07,Store_5,Product_5,57,156,0
2023-01-07,Store_5,Product_6,106,98,1
2023-01-07,Store_5,Product_7,70,183,0
2023-01-07,Store_5,Product_8,80,197,0
2023-01-07,Store_5,Product_9,21,75,0
2023-01-07,Store_5,Product_10,53,108,0
2023-01-08,Store_1,Product_1,76,87,0
2023-01-08,Store_1,Product_2,67,101,0
2023-01-08,Store_1,Product_3,30,54,1
2023-01-08,Store_1,Product_4,77,83,0
2023-01-08,Store_1,Product_5,76,194,1
2023-01-08,Store_1,Product_6,77,162,0
2023-01-08,Store_1,Product_7,95,191,0
2023-01-08,Store_1,Product_8,90,154,0
2023-01-08,Store_1,Product_9,86,62,0
2023-01-08,Store_1,Product_10,99,117,0
2023-01-08,Store_2,Product_1,36,131,1
2023-01-08,Store_2,Product_2,55,132,1
2023-01-08,Store_2,Product_3,22,138,0
2023-01-08,Store_2,Product_4,80,125,0
2023-01-08,Store_2,Product_5,31,98,0
2023-01-08,Store_2,Product_6,63,151,0
2023-01-08,Store_2,Product_7,98,58,0
2023-01-08,Store_2,Product_8,54,121,0
2023-01-08,Store_2,Product_9,82,64,0
2023-01-08,Store_2,Product_10,91,95,0
2023-01-08,Store_3,Product_1,62,100,0
2023-01-08,Store_3,Product_2,43,190,0
2023-01-08,Store_3,Product_3,56,166,0
2023-01-08,Store_3,Product_4,42,84,0
2023-01-08,Store_3,Product_5,53,126,0
2023-01-08,Store_3,Product_6,103,56,0
2023-01-08,Store_3,Product_7,92,105,0
2023-01-08,Store_3,Product_8,101,91,1
2023-01-08,Store_3,Product_9,109,96,1
2023-01-08,Store_3,Product_10,31,167,0
2023-01-08,Store_4,Product_1,32,171,0
2023-01-08,Store_4,Product_2,68,121,0
2023-01-08,Store_4,Product_3,73,99,0
2023-01-08,Store_4,Product_4,77,138,0
2023-01-08,Store_4,Product_5,55,118,0
2023-01-08,Store_4,Product_6,48,168,0
2023-01-08,Store_4,Product_7,43,60,0
2023-01-08,Store_4,Product_8,98,126,0
2023-01-08,Store_4,Product_9,41,167,0
2023-01-08,Store_4,Product_10,70,73,0
2023-01-08,Store_5,Product_1,31,81,0
2023-01-08,Store_5,Product_2,62,146,0
2023-01-08,Store_5,Product_3,88,62,0
2023-01-08,Store_5,Product_4,19,54,0
2023-01-08,Store_5,Product_5,58,99,0
2023-01-08,Store_5,Product_6,65,174,0
2023-01-08,Store_5,Product_7,90,151,0
2023-01-08,Store_5,Product_8,48,165,0
2023-01-08,Store_5,Product_9,71,104,0
2023-01-08,Store_5,Product_10,103,170,1
2023-01-09,Store_1,Product_1,47,52,1
2023-01-09,Store_1,Product_2,45,141,1
2023-01-09,Store_1,Product_3,36,114,1
2023-01-09,Store_1,Product_4,45,133,0
2023-01-09,Store_1,Product_5,90,65,0
2023-01-09,Store_1,Product_6,36,85,0
2023-01-09,Store_1,Product_7,95,124,1
2023-01-09,Store_1,Product_8,77,104,0
2023-01-09,Store_1,Product_9,44,150,0
2023-01-09,Store_1,Product_10,33,98,0
2023-01-09,Store_2,Product_1,70,183,0
2023-01-09,Store_2,Product_2,26,63,0
2023-01-09,Store_2,Product_3,45,74,0
2023-01-09,Store_2,Product_4,54,144,0
2023-01-09,Store_2,Product_5,117,180,1
2023-01-09,Store_2,Product_6,29,74,0
2023-01-09,Store_2,Product_7,40,128,1
2023-01-09,Store_2,Product_8,76,61,1
2023-01-09,Store_2,Product_9,37,142,0
2023-01-09,Store_2,Product_10,20,109,0
2023-01-09,Store_3,Product_1,48,60,0
2023-01-09,Store_3,Product_2,51,105,0
2023-01-09,Store_3,Product_3,26,129,0
2023-01-09,Store_3,Product_4,28,53,1
2023-01-09,Store_3,Product_5,34,101,0
2023-01-09,Store_3,Product_6,55,112,0
2023-01-09,Store_3,Product_7,77,56,0
2023-01-09,Store_3,Product_8,40,135,1
2023-01-09,Store_3,Product_9,73,128,0
2023-01-09,Store_3,Product_10,66,169,0
2023-01-09,Store_4,Product_1,90,131,0
2023-01-09,Store_4,Product_2,50,188,0
2023-01-09,Store_4,Product_3,69,83,0
2023-01-09,Store_4,Product_4,70,91,0
2023-01-09,Store_4,Product_5,36,179,0
2023-01-09,Store_4,Product_6,60,146,1
2023-01-09,Store_4,Product_7,83,77,0
2023-01-09,Store_4,Product_8,61,57,1
2023-01-09,Store_4,Product_9,94,136,0
2023-01-09,Store_4,Product_10,88,136,0
2023-01-09,Store_5,Product_1,124,66,1
2023-01-09,Store_5,Product_2,44,107,0
2023-01-09,Store_5,Product_3,28,54,0
2023-01-09,Store_5,Product_4,35,113,0
2023-01-09,Store_5,Product_5,32,98,0
2023-01-09,Store_5,Product_6,95,127,0
2023-01-09,Store_5,Product_7,81,189,0
2023-01-09,Store_5,Product_8,26,167,0
2023-01-09,Store_5,Product_9,56,173,0
2023-01-09,Store_5,Product_10,34,64,0
2023-01-10,Store_1,Product_1,36,108,0
2023-01-10,Store_1,Product_2,36,81,0
2023-01-10,Store_1,Product_3,55,168,1
2023-01-10,Store_1,Product_4,30,67,0
2023-01-10,Store_1,Product_5,35,135,0
2023-01-10,Store_1,Product_6,44,141,0
2023-01-10,Store_1,Product_7,30,76,1
2023-01-10,Store_1,Product_8,96,137,0
2023-01-10,Store_1,Product_9,54,52,0
2023-01-10,Store_1,Product_10,45,72,0
2023-01-10,Store_2,Product_1,65,160,0
2023-01-10,Store_2,Product_2,96,193,1
2023-01-10,Store_2,Product_3,29,113,1
2023-01-10,Store_2,Product_4,34,198,0
2023-01-10,Store_2,Product_5,43,186,0
2023-01-10,Store_2,Product_6,103,103,1
2023-01-10,Store_2,Product_7,110,119,1
2023-01-10,Store_2,Product_8,73,181,0
2023-01-10,Store_2,Product_9,28,86,0
2023-01-10,Store_2,Product_10,76,152,0
2023-01-10,Store_3,Product_1,57,69,0
2023-01-10,Store_3,Product_2,90,53,0
2023-01-10,Store_3,Product_3,24,104,0
2023-01-10,Store_3,Product_4,41,131,0
2023-01-10,Store_3,Product_5,81,159,0
2023-01-10,Store_3,Product_6,51,158,0
2023-01-10,Store_3,Product_7,83,68,0
2023-01-10,Store_3,Product_8,79,162,0
2023-01-10,Store_3,Product_9,43,96,1
2023-01-10,Store_3,Product_10,65,194,0
2023-01-10,Store_4,Product_1,47,96,1
2023-01-10,Store_4,Product_2,97,152,0
2023-01-10,Store_4,Product_3,38,187,0
2023-01-10,Store_4,Product_4,91,156,0
2023-01-10,Store_4,Product_5,81,196,0
2023-01-10,Store_4,Product_6,81,118,1
2023-01-10,Store_4,Product_7,44,54,0
2023-01-10,Store_4,Product_8,21,175,0
2023-01-10,Store_4,Product_9,64,119,0
2023-01-10,Store_4,Product_10,64,109,0
2023-01-10,Store_5,Product_1,82,85,0
2023-01-10,Store_5,Product_2,51,157,0
2023-01-10,Store_5,Product_3,35,169,1
2023-01-10,Store_5,Product_4,43,155,1
2023-01-10,Store_5,Product_5,91,156,0
2023-01-10,Store_5,Product_6,74,70,0
2023-01-10,Store_5,Product_7,53,192,0
2023-01-10,Store_5,Product_8,96,197,0
2023-01-10,Store_5,Product_9,61,106,0
2023-01-10,Store_5,Product_10,39,131,0
2023-01-11,Store_1,Product_1,61,138,1
2023-01-11,Store_1,Product_2,45,166,0
2023-01-11,Store_1,Product_3,94,110,0
2023-01-11,Store_1,Product_4,58,92,0
2023-01-11,Store_1,Product_5,66,147,0
2023-01-11,Store_1,Product_6,26,51,0
2023-01-11,Store_1,Product_7,76,161,0
2023-01-11,Store_1,Product_8,70,135,0
2023-01-11,Store_1,Product_9,59,148,0
2023-01-11,Store_1,Product_10,80,98,0
2023-01-11,Store_2,Product_1,29,117,0
2023-01-11,Store_2,Product_2,41,169,0
2023-01-11,Store_2,Product_3,98,107,0
2023-01-11,Store_2,Product_4,76,115,0
2023-01-11,Store_2,Product_5,24,55,0
2023-01-11,Store_2,Product_6,48,138,0
2023-01-11,Store_2,Product_7,64,90,0
2023-01-11,Store_2,Product_8,86,104,0
2023-01-11,Store_2,Product_9,36,91,0
2023-01-11,Store_2,Product_10,95,61,0
2023-01-11,Store_3,Product_1,119,57,1
2023-01-11,Store_3,Product_2,67,156,0
2023-01-11,Store_3,Product_3,111,168,1
2023-01-11,Store_3,Product_4,97,158,1
2023-01-11,Store_3,Product_5,45,151,1
2023-01-11,Store_3,Product_6,86,177,0
2023-01-11,Store_3,Product_7,52,182,1
2023-01-11,Store_3,Product_8,39,165,1
2023-01-11,Store_3,Product_9,26,188,1
2023-01-11,Store_3,Product_10,119,180,1
2023-01-11,Store_4,Product_1,54,83,0
2023-01-11,Store_4,Product_2,64,131,0
2023-01-11,Store_4,Product_3,105,66,1
2023-01-11,Store_4,Product_4,29,143,1
2023-01-11,Store_4,Product_5,54,96,0
2023-01-11,Store_4,Product_6,91,197,0
2023-01-11,Store_4,Product_7,97,96,0
2023-01-11,Store_4,Product_8,82,70,0
2023-01-11,Store_4,Product_9,76,194,0
2023-01-11,Store_4,Product_10,119,164,1
2023-01-11,Store_5,Product_1,42,95,0
2023-01-11,Store_5,Product_2,87,84,0
2023-01-11,Store_5,Product_3,97,137,0
2023-01-11,Store_5,Product_4,51,132,1
2023-01-11,Store_5,Product_5,28,120,0
2023-01-11,Store_5,Product_6,116,173,1
2023-01-11,Store_5,Product_7,42,79,0
2023-01-11,Store_5,Product_8,63,169,0
2023-01-11,Store_5,Product_9,27,127,0
2023-01-11,Store_5,Product_10,111,117,1
2023-01-12,Store_1,Product_1,28,169,0
2023-01-12,Store_1,Product_2,85,65,0
2023-01-12,Store_1,Product_3,69,113,0
2023-01-12,Store_1,Product_4,40,118,0
2023-01-12,Store_1,Product_5,97,186,0
2023-01-12,Store_1,Product_6,86,57,0
2023-01-12,Store_1,Product_7,75,196,1
2023-01-12,Store_1,Product_8,43,70,0
2023-01-12,Store_1,Product_9,44,104,0
2023-01-12,Store_1,Product_10,55,53,0
2023-01-12,Store_2,Product_1,65,154,0
2023-01-12,Store_2,Product_2,60,55,1
2023-01-12,Store_2,Product_3,39,76,0
2023-01-12,Store_2,Product_4,84,142,0
2023-01-12,Store_2,Product_5,48,133,0
2023-01-12,Store_2,Product_6,27,98,0
2023-01-12,Store_2,Product_7,85,146,0
2023-01-12,Store_2,Product_8,71,111,0
2023-01-12,Store_2,Product_9,74,86,0
2023-01-12,Store_2,Product_10,41,137,0
2023-01-12,Store_3,Product_1,85,190,0
2023-01-12,Store_3,Product_2,40,188,0
2023-01-12,Store_3,Product_3,65,68,0
2023-01-12,Store_3,Product_4,87,158,0
2023-01-12,Store_3,Product_5,52,133,0
2023-01-12,Store_3,Product_6,88,117,0
2023-01-12,Store_3,Product_7,63,133,1
2023-01-12,Store_3,Product_8,96,171,0
2023-01-12,Store_3,Product_9,63,154,0
2023-01-12,Store_3,Product_10,74,124,0
2023-01-12,Store_4,Product_1,39,170,0
2023-01-12,Store_4,Product_2,25,133,0
2023-01-12,Store_4,Product_3,29,143,0
2023-01-12,Store_4,Product_4,63,61,0
2023-01-12,Store_4,Product_5,85,150,0
2023-01-12,Store_4,Product_6,66,176,0
2023-01-12,Store_4,Product_7,49,148,0
2023-01-12,Store_4,Product_8,92,171,0
2023-01-12,Store_4,Product_9,54,128,0
2023-01-12,Store_4,Product_10,54,153,1
2023-01-12,Store_5,Product_1,60,149,0
2023-01-12,Store_5,Product_2,37,83,0
2023-01-12,Store_5,Product_3,56,114,0
2023-01-12,Store_5,Product_4,42,68,0
2023-01-12,Store_5,Product_5,87,188,0
2023-01-12,Store_5,Product_6,57,113,0
2023-01-12,Store_5,Product_7,56,114,0
2023-01-12,Store_5,Product_8,77,118,0
2023-01-12,Store_5,Product_9,74,156,0
2023-01-12,Store_5,Product_10,73,99,0
2023-01-13,Store_1,Product_1,31,171,0
2023-01-13,Store_1,Product_2,63,173,0
2023-01-13,Store_1,Product_3,33,162,0
2023-01-13,Store_1,Product_4,82,175,0
2023-01-13,Store_1,Product_5,37,98,0
2023-01-13,Store_1,Product_6,90,172,1
